Id_planta,Id_Entity,Code,name,capacity_mw,primary_fuel
0,0,AFG,Kajaki Hydroelectric Power Plant Afghanistan,33.0,Hydro
1,0,AFG,Kandahar DOG,10.0,Solar
2,0,AFG,Kandahar JOL,10.0,Solar
3,0,AFG,Mahipar Hydroelectric Power Plant Afghanistan,66.0,Hydro
4,0,AFG,Naghlu Dam Hydroelectric Power Plant Afghanistan,100.0,Hydro
5,0,AFG,Nangarhar (Darunta) Hydroelectric Power Plant Afghanistan,11.55,Hydro
6,0,AFG,Northwest Kabul Power Plant Afghanistan,42.0,Gas
7,0,AFG,Pul-e-Khumri Hydroelectric Power Plant Afghanistan,6.0,Hydro
8,0,AFG,Sarobi Dam Hydroelectric Power Plant Afghanistan,22.0,Hydro
9,4,ALB,Bistrica 1,27.0,Hydro
10,4,ALB,Fierza,500.0,Hydro
11,4,ALB,Koman,600.0,Hydro
12,4,ALB,Lanabregas,5.0,Hydro
13,4,ALB,Shkopet,24.0,Hydro
14,4,ALB,Ulez,25.0,Hydro
15,4,ALB,Vau i Dijes,250.0,Hydro
16,4,ALB,Vlora,98.0,Other
17,5,DZA,Adrar,20.0,Solar
18,5,DZA,Ain Azel,20.0,Solar
19,5,DZA,Ain Djasser,520.0,Gas
20,5,DZA,Ain Sekhouna,20.0,Solar
21,5,DZA,Ain el Ibel I,20.0,Solar
22,5,DZA,Ain el Ibel II,53.0,Solar
23,5,DZA,Ain el Melh,20.0,Solar
24,5,DZA,Algerie Sud-Ouest,43.5,Solar
25,5,DZA,Annaba,71.0,Gas
26,5,DZA,Aoulef,5.0,Solar
27,5,DZA,Arbaa,560.0,Gas
28,5,DZA,Bir Rebaa,10.0,Solar
29,5,DZA,Boufarik 1,100.0,Gas
30,5,DZA,Boufarik 2,450.0,Gas
31,5,DZA,Boutelilis,450.0,Gas
32,5,DZA,Chelghoum El Aïd,15.0,Solar
33,5,DZA,El Kheneg,60.0,Solar
34,5,DZA,F'Krina,292.0,Gas
35,5,DZA,HPC Ouargla,30.0,Solar
36,5,DZA,Hadjret Ennous,1200.0,Gas
37,5,DZA,Hamma 2,418.0,Gas
38,5,DZA,Hassi Messaoud Mobile,72.0,Gas
39,5,DZA,Hassi Messoud,600.0,Gas
40,5,DZA,Hassi Messoud Nord 2,200.0,Gas
41,5,DZA,Hassi Messoud Ouest,492.0,Gas
42,5,DZA,Hassi R'mel ISCC,20.0,Solar
43,5,DZA,Hauts Plateaux Centre,106.6,Solar
44,5,DZA,Hauts Plateaux Est,73.8,Solar
45,5,DZA,Ighil Emda,24.0,Hydro
46,5,DZA,In Salah,5.0,Solar
47,5,DZA,Jijel,588.0,Gas
48,5,DZA,Kahrama IPP,345.0,Gas
49,5,DZA,Koudiet Eddraouch,1200.0,Gas
50,5,DZA,Labiodh Sidi Cheikh,20.0,Solar
51,5,DZA,Labreg,396.0,Gas
52,5,DZA,Marsat,840.0,Gas
53,5,DZA,Marsat TG,184.0,Gas
54,5,DZA,Msila 1,980.0,Gas
55,5,DZA,Naâma,19.9,Solar
56,5,DZA,Oued El Kebrit,15.0,Solar
57,5,DZA,Oued el Ma,20.0,Solar
58,5,DZA,Ras Djinet,672.0,Gas
59,5,DZA,Ras el Oued,20.0,Solar
60,5,DZA,Ravin Blanc,73.0,Gas
61,5,DZA,Reggane,5.0,Solar
