Id_carbon-intensity-electricity,Id_Entity,Code,Year,Id_CarbonIntensityofElectricity(gCO2/kWh),Outlier_Carbon_(gCO2/kWh)
0,0,AFG,2000,255.3191375732422,1
1,0,AFG,2001,118.6440658569336,1
2,0,AFG,2002,144.9275360107422,1
3,0,AFG,2003,255.3191375732422,1
4,0,AFG,2004,269.66290283203125,1
5,0,AFG,2005,268.81719970703125,1
6,0,AFG,2006,190.4761962890625,1
7,0,AFG,2007,168.42105102539062,1
8,0,AFG,2008,191.78082275390625,1
9,0,AFG,2009,138.29786682128906,1
10,0,AFG,2010,159.57447814941406,1
11,0,AFG,2011,179.4871826171875,1
12,0,AFG,2012,136.36363220214844,1
13,0,AFG,2013,153.1531524658203,1
14,0,AFG,2014,112.06896209716795,1
15,0,AFG,2015,110.16948699951172,1
16,0,AFG,2016,107.4380111694336,1
17,0,AFG,2017,125.9842529296875,1
18,0,AFG,2018,136.75213623046875,1
19,0,AFG,2019,141.5094451904297,1
20,0,AFG,2020,115.38462829589844,1
21,1,Sin Informacion,2000,535.45849609375,1
22,1,Sin Informacion,2001,530.0001220703125,1
23,1,Sin Informacion,2002,524.2651977539062,1
24,1,Sin Informacion,2003,534.8441772460938,1
25,1,Sin Informacion,2004,529.2755737304688,1
26,1,Sin Informacion,2005,531.9890747070312,1
27,1,Sin Informacion,2006,531.0554809570312,1
28,1,Sin Informacion,2007,532.0801391601562,1
29,1,Sin Informacion,2008,525.3151245117188,1
30,1,Sin Informacion,2009,517.0382690429688,1
31,1,Sin Informacion,2010,511.80181884765625,1
32,1,Sin Informacion,2011,504.1724853515625,1
33,1,Sin Informacion,2012,499.7821350097656,1
34,1,Sin Informacion,2013,491.017578125,1
35,1,Sin Informacion,2014,485.2170104980469,1
36,1,Sin Informacion,2015,488.0860595703125,1
37,1,Sin Informacion,2016,483.0273132324219,1
38,1,Sin Informacion,2017,479.83441162109375,1
39,1,Sin Informacion,2018,470.7342834472656,1
40,1,Sin Informacion,2019,468.15478515625,1
41,1,Sin Informacion,2020,442.7178039550781,1
42,1,Sin Informacion,2021,287.101806640625,1
43,4,ALB,2000,50.3144645690918,1
44,4,ALB,2001,56.30026245117188,1
45,4,ALB,2002,64.1711196899414,1
46,4,ALB,2003,40.0,1
47,4,ALB,2004,40.99821472167969,1
48,4,ALB,2005,33.08823776245117,1
49,4,ALB,2006,34.4202880859375,1
50,4,ALB,2007,41.95804214477539,1
51,4,ALB,2008,23.68421173095703,1
52,4,ALB,2009,23.07692146301269,1
53,4,ALB,2010,23.77807235717773,1
54,4,ALB,2011,33.41288757324219,1
55,4,ALB,2012,23.305084228515625,1
56,4,ALB,2013,24.42528915405273,1
57,4,ALB,2014,23.305084228515625,1
58,4,ALB,2015,23.769100189208984,1
59,4,ALB,2016,24.42159080505371,1
60,4,ALB,2017,24.33628273010254,1
61,4,ALB,2018,24.5614013671875,1
62,4,ALB,2019,23.07692146301269,1
63,4,ALB,2020,24.482107162475582,1
64,5,DZA,2000,468.2826843261719,1
65,5,DZA,2001,467.2300415039063,1
66,5,DZA,2002,467.30322265625,1
67,5,DZA,2003,464.6437377929688,1
68,5,DZA,2004,464.0148620605469,1
69,5,DZA,2005,459.3837585449219,1
70,5,DZA,2006,463.2809753417969,1
71,5,DZA,2007,462.0744934082031,1
72,5,DZA,2008,463.7522583007813,1
73,5,DZA,2009,413.5739135742188,1
74,5,DZA,2010,463.7585754394531,1
75,5,DZA,2011,445.604248046875,1
76,5,DZA,2012,460.8255004882813,1
77,5,DZA,2013,463.0155029296875,1
78,5,DZA,2014,464.0338745117188,1
79,5,DZA,2015,464.11236572265625,1
80,5,DZA,2016,463.2590026855469,1
81,5,DZA,2017,461.6072692871094,1
82,5,DZA,2018,460.1958618164063,1
83,5,DZA,2019,460.0929565429688,1
84,5,DZA,2020,449.748779296875,1
85,6,ASM,2000,687.5,1
86,6,ASM,2001,687.5,1
87,6,ASM,2002,705.88232421875,1
88,6,ASM,2003,722.22216796875,1
89,6,ASM,2004,722.22216796875,1
90,6,ASM,2005,722.22216796875,1
91,6,ASM,2006,722.22216796875,1
92,6,ASM,2007,722.22216796875,1
93,6,ASM,2008,684.2105102539062,1
94,6,ASM,2009,722.22216796875,1
95,6,ASM,2010,687.5,1
96,6,ASM,2011,687.5,1
97,6,ASM,2012,687.5,1
98,6,ASM,2013,687.5,1
99,6,ASM,2014,687.5,1
100,6,ASM,2015,687.5,1
101,6,ASM,2016,705.88232421875,1
102,6,ASM,2017,705.88232421875,1
103,6,ASM,2018,687.5,1
104,6,ASM,2019,687.5,1
