Id_elec-mix-bar,Id_Entity,Code,Year,ElectricityFromFossilFuels(TWh),ElectricityFromNuclear(TWh),ElectricityFromRenewables(TWh),Outlier_ElectricityFromFossilFuels(TWh),Outlier_ElectricityFromNuclear(TWh),Outlier_ElectricityFromRenewables(TWh)
0,0,AFG,2000,0.1599999964237213,0.0,0.3100000023841858,1,1,1
1,0,AFG,2001,0.0900000035762786,0.0,0.5,1,1,1
2,0,AFG,2002,0.1299999952316284,0.0,0.5600000023841858,1,1,1
3,0,AFG,2003,0.3100000023841858,0.0,0.6299999952316284,1,1,1
4,0,AFG,2004,0.3300000131130218,0.0,0.5600000023841858,1,1,1
5,0,AFG,2005,0.3400000035762787,0.0,0.5899999737739563,1,1,1
6,0,AFG,2006,0.2000000029802322,0.0,0.6399999856948853,1,1,1
7,0,AFG,2007,0.2000000029802322,0.0,0.75,1,1,1
8,0,AFG,2008,0.1899999976158142,0.0,0.5400000214576721,1,1,1
9,0,AFG,2009,0.1599999964237213,0.0,0.7799999713897705,1,1,1
10,0,AFG,2010,0.1899999976158142,0.0,0.75,1,1,1
11,0,AFG,2011,0.1800000071525573,0.0,0.6000000238418579,1,1,1
12,0,AFG,2012,0.1400000005960464,0.0,0.7400000095367432,1,1,1
13,0,AFG,2013,0.2199999988079071,0.0,0.8899999856948853,1,1,1
14,0,AFG,2014,0.1599999964237213,0.0,1.0,1,1,1
15,0,AFG,2015,0.1500000059604644,0.0,1.0299999713897705,1,1,1
16,0,AFG,2016,0.1500000059604644,0.0,1.059999942779541,1,1,1
17,0,AFG,2017,0.1800000071525573,0.0,1.090000033378601,1,1,1
18,0,AFG,2018,0.2000000029802322,0.0,0.9700000286102296,1,1,1
19,0,AFG,2019,0.1800000071525573,0.0,0.8799999952316284,1,1,1
20,0,AFG,2020,0.1199999973177909,0.0,0.6600000262260437,1,1,1
21,1,Sin Informacion,1985,201.7364196777344,5.315000057220459,49.71868515014648,1,1,1
22,1,Sin Informacion,1986,207.6114044189453,8.803000450134277,51.80437088012695,1,1,1
23,1,Sin Informacion,1987,222.4950714111328,6.166999816894531,49.71446228027344,1,1,1
24,1,Sin Informacion,1988,229.07110595703125,10.493000030517578,54.21945571899414,1,0,1
25,1,Sin Informacion,1989,237.48751831054688,11.098999977111816,56.89321517944336,1,0,1
26,1,Sin Informacion,1990,250.32614135742188,8.449000358581543,58.050662994384766,0,1,1
27,1,Sin Informacion,1991,252.48410034179688,9.144000053405762,61.4634895324707,0,1,1
28,1,Sin Informacion,1992,258.5945129394531,9.288000106811523,58.70254135131836,0,1,1
29,1,Sin Informacion,1993,272.8959350585937,7.255000114440918,57.6222038269043,0,1,1
30,1,Sin Informacion,1994,281.7197570800781,9.696999549865724,58.43644714355469,0,1,1
31,1,Sin Informacion,1995,289.38201904296875,11.300999641418455,60.79388046264648,0,0,1
32,1,Sin Informacion,1996,304.6513671875,11.774999618530272,63.5816535949707,0,0,1
33,1,Sin Informacion,1997,320.464111328125,12.647000312805176,65.246337890625,0,0,1
34,1,Sin Informacion,1998,322.1246032714844,13.60099983215332,68.37503051757812,0,0,1
35,1,Sin Informacion,1999,330.809814453125,12.836999893188477,72.40018463134766,0,0,1
36,1,Sin Informacion,2000,346.6232604980469,13.010000228881836,77.71231842041016,0,0,0
37,1,Sin Informacion,2001,362.818115234375,10.718999862670898,83.635009765625,0,0,0
38,1,Sin Informacion,2002,385.7981567382813,11.990999221801758,87.77324676513672,0,0,0
39,1,Sin Informacion,2003,407.5543823242188,12.662999153137209,85.75265502929688,0,0,0
40,1,Sin Informacion,2004,432.87548828125,13.36512279510498,90.99117279052734,0,0,0
41,1,Sin Informacion,2005,453.132568359375,11.292654037475586,92.65716552734376,0,0,0
42,1,Sin Informacion,2006,475.8372192382813,10.025999069213867,96.71022033691406,0,0,0
43,1,Sin Informacion,2007,496.23876953125,11.316999435424805,99.40731048583984,0,0,0
44,1,Sin Informacion,2008,505.696533203125,13.003999710083008,101.61903381347656,0,0,0
45,1,Sin Informacion,2009,508.9241943359375,12.805999755859377,104.80892181396484,0,0,0
46,1,Sin Informacion,2010,541.437255859375,13.526999473571776,113.9636688232422,0,0,0
