Id_low-carbon-share-energy,Id_Entity,Code,Year,Low-CarbonEnergy(%PrimaryEnergy),Outlier_Low-CarbonEnergy(%PrimaryEnergy)
0,1,Sin Informacion,1965,5.747494697570801,1
1,1,Sin Informacion,1966,6.122061729431152,1
2,1,Sin Informacion,1967,6.325730800628662,1
3,1,Sin Informacion,1968,7.005292892456055,1
4,1,Sin Informacion,1969,7.956087589263916,1
5,1,Sin Informacion,1970,9.16205883026123,1
6,1,Sin Informacion,1971,8.131307601928711,1
7,1,Sin Informacion,1972,8.747766494750977,1
8,1,Sin Informacion,1973,8.542280197143555,1
9,1,Sin Informacion,1974,9.268067359924316,1
10,1,Sin Informacion,1975,9.238402366638184,1
11,1,Sin Informacion,1976,9.416414260864258,1
12,1,Sin Informacion,1977,9.803298950195312,1
13,1,Sin Informacion,1978,9.519680976867676,1
14,1,Sin Informacion,1979,9.35092830657959,1
15,1,Sin Informacion,1980,8.48603630065918,1
16,1,Sin Informacion,1981,7.859501838684082,1
17,1,Sin Informacion,1982,7.378184795379639,1
18,1,Sin Informacion,1983,6.456583023071289,1
19,1,Sin Informacion,1984,6.6778883934021,1
20,1,Sin Informacion,1985,7.254730701446533,1
21,1,Sin Informacion,1986,7.796772003173828,1
22,1,Sin Informacion,1987,6.976686477661133,1
23,1,Sin Informacion,1988,7.530003070831299,1
24,1,Sin Informacion,1989,7.8931050300598145,1
25,1,Sin Informacion,1990,7.485422611236572,1
26,1,Sin Informacion,1991,7.955136299133301,1
27,1,Sin Informacion,1992,7.546756267547607,1
28,1,Sin Informacion,1993,7.196238517761231,1
29,1,Sin Informacion,1994,7.291601657867432,1
30,1,Sin Informacion,1995,7.404016017913818,1
31,1,Sin Informacion,1996,7.549602508544922,1
32,1,Sin Informacion,1997,7.647135257720947,1
33,1,Sin Informacion,1998,7.9263081550598145,1
34,1,Sin Informacion,1999,7.99805736541748,1
35,1,Sin Informacion,2000,8.325679779052734,1
36,1,Sin Informacion,2001,8.324426651000977,1
37,1,Sin Informacion,2002,8.600308418273926,1
38,1,Sin Informacion,2003,8.037150382995605,1
39,1,Sin Informacion,2004,7.90875244140625,1
40,1,Sin Informacion,2005,7.815120220184326,1
41,1,Sin Informacion,2006,7.829747200012207,1
42,1,Sin Informacion,2007,7.773327827453613,1
43,1,Sin Informacion,2008,7.538750648498535,1
44,1,Sin Informacion,2009,7.568111419677734,1
45,1,Sin Informacion,2010,7.9087724685668945,1
46,1,Sin Informacion,2011,7.984251022338867,1
47,1,Sin Informacion,2012,7.719410419464111,1
48,1,Sin Informacion,2013,7.96345853805542,1
49,1,Sin Informacion,2014,8.236089706420898,1
50,1,Sin Informacion,2015,8.090261459350586,1
51,1,Sin Informacion,2016,8.052142143249512,1
52,1,Sin Informacion,2017,8.421670913696289,1
53,1,Sin Informacion,2018,8.710136413574219,1
54,1,Sin Informacion,2019,9.178542137145996,1
55,1,Sin Informacion,2020,10.29439926147461,1
56,1,Sin Informacion,2021,10.027145385742188,1
57,2,Sin Informacion,1965,5.747495651245117,1
58,2,Sin Informacion,1966,6.122062206268311,1
59,2,Sin Informacion,1967,6.325730800628662,1
60,2,Sin Informacion,1968,7.005292892456055,1
61,2,Sin Informacion,1969,7.956087589263916,1
62,2,Sin Informacion,1970,9.16205883026123,1
63,2,Sin Informacion,1971,8.131307601928711,1
64,2,Sin Informacion,1972,8.747766494750977,1
65,2,Sin Informacion,1973,8.542280197143555,1
66,2,Sin Informacion,1974,9.268067359924316,1
67,2,Sin Informacion,1975,9.238402366638184,1
68,2,Sin Informacion,1976,9.41641330718994,1
69,2,Sin Informacion,1977,9.803298950195312,1
70,2,Sin Informacion,1978,9.519680976867676,1
71,2,Sin Informacion,1979,9.35092830657959,1
72,2,Sin Informacion,1980,8.486035346984863,1
73,2,Sin Informacion,1981,7.859501838684082,1
74,2,Sin Informacion,1982,7.378184795379639,1
75,2,Sin Informacion,1983,6.456583023071289,1
76,2,Sin Informacion,1984,6.6778883934021,1
77,2,Sin Informacion,1985,7.254730701446533,1
78,2,Sin Informacion,1986,7.796772480010986,1
79,2,Sin Informacion,1987,6.976686477661133,1
80,2,Sin Informacion,1988,7.530003070831299,1
81,2,Sin Informacion,1989,7.8931050300598145,1
82,2,Sin Informacion,1990,7.485422611236572,1
83,2,Sin Informacion,1991,7.955136775970459,1
84,2,Sin Informacion,1992,7.546756267547607,1
85,2,Sin Informacion,1993,7.196238517761231,1
86,2,Sin Informacion,1994,7.291601657867432,1
87,2,Sin Informacion,1995,7.404016494750977,1
88,2,Sin Informacion,1996,7.549602508544922,1
89,2,Sin Informacion,1997,7.647135257720947,1
90,2,Sin Informacion,1998,7.9263081550598145,1
91,2,Sin Informacion,1999,7.99805736541748,1
92,2,Sin Informacion,2000,8.325679779052734,1
93,2,Sin Informacion,2001,8.32442569732666,1
94,2,Sin Informacion,2002,8.614852905273438,1
95,2,Sin Informacion,2003,8.052451133728027,1
96,2,Sin Informacion,2004,7.925556659698486,1
97,2,Sin Informacion,2005,7.82151460647583,1
98,2,Sin Informacion,2006,7.831613063812256,1
99,2,Sin Informacion,2007,7.793010234832764,1
100,2,Sin Informacion,2008,7.55306339263916,1
101,2,Sin Informacion,2009,7.575967788696289,1
102,2,Sin Informacion,2010,7.913494110107422,1
103,2,Sin Informacion,2011,7.995460987091064,1
104,2,Sin Informacion,2012,7.73239278793335,1
105,2,Sin Informacion,2013,7.975709438323975,1
106,2,Sin Informacion,2014,8.247605323791504,1
107,2,Sin Informacion,2015,8.104400634765625,1
108,2,Sin Informacion,2016,8.064459800720215,1
109,2,Sin Informacion,2017,8.433497428894043,1
110,2,Sin Informacion,2018,8.728120803833008,1
111,2,Sin Informacion,2019,9.193734169006348,1
112,2,Sin Informacion,2020,10.314176559448242,1
113,2,Sin Informacion,2021,10.04624843597412,1
114,5,DZA,1965,4.763067722320557,1
115,5,DZA,1966,3.518747091293335,1
116,5,DZA,1967,4.2919535636901855,1
117,5,DZA,1968,5.486194610595703,1
118,5,DZA,1969,3.1827635765075684,1
119,5,DZA,1970,4.665683746337891,1
120,5,DZA,1971,2.455918788909912,1
121,5,DZA,1972,3.278343439102173,1
122,5,DZA,1973,4.175826072692871,1
123,5,DZA,1974,2.4947381019592285,1
124,5,DZA,1975,1.378281831741333,1
125,5,DZA,1976,1.4010223150253296,1
126,5,DZA,1977,0.8817282319068909,1
127,5,DZA,1978,0.6521151065826416,1
128,5,DZA,1979,0.5792936086654663,1
129,5,DZA,1980,0.4290015995502472,1
130,5,DZA,1981,0.50294029712677,1
131,5,DZA,1982,0.570870041847229,1
132,5,DZA,1983,0.2564494609832763,1
133,5,DZA,1984,0.5136735439300537,1
134,5,DZA,1985,0.7282653450965881,1
135,5,DZA,1986,0.2664044797420501,1
136,5,DZA,1987,0.5174273252487183,1
137,5,DZA,1988,0.1771743595600128,1
138,5,DZA,1989,0.2249582260847091,1
139,5,DZA,1990,0.1267386972904205,1
140,5,DZA,1991,0.2776069939136505,1
141,5,DZA,1992,0.1837574690580368,1
142,5,DZA,1993,0.3502801358699798,1
143,5,DZA,1994,0.1625789850950241,1
144,5,DZA,1995,0.182247593998909,1
145,5,DZA,1996,0.12880340218544,1
146,5,DZA,1997,0.0744559019804,1
147,5,DZA,1998,0.2061796188354492,1
148,5,DZA,1999,0.1927434206008911,1
149,5,DZA,2000,0.0532354824244976,1
150,5,DZA,2001,0.065218485891819,1
151,5,DZA,2002,0.0516767688095569,1
152,5,DZA,2003,0.2281039953231811,1
153,5,DZA,2004,0.2067869007587433,1
154,5,DZA,2005,0.434118777513504,1
155,5,DZA,2006,0.1632719486951828,1
156,5,DZA,2007,0.1599045693874359,1
157,5,DZA,2008,0.1877543032169342,1
158,5,DZA,2009,0.2127854824066162,1
159,5,DZA,2010,0.1151323765516281,1
160,5,DZA,2011,0.2352599054574966,1
161,5,DZA,2012,0.2245319485664367,1
162,5,DZA,2013,0.0647631958127021,1
163,5,DZA,2014,0.1175024658441543,1
164,5,DZA,2015,0.09681336581707,1
165,5,DZA,2016,0.1458071172237396,1
166,5,DZA,2017,0.2470182925462722,1
167,5,DZA,2018,0.2876792848110199,1
168,5,DZA,2019,0.2947469651699066,1
169,5,DZA,2020,0.2978994250297546,1
170,5,DZA,2021,0.2613673508167267,1
171,10,ARG,1965,1.1027235984802246,1
172,10,ARG,1966,1.0818976163864136,1
173,10,ARG,1967,1.0765652656555176,1
174,10,ARG,1968,1.2273393869400024,1
175,10,ARG,1969,1.0651699304580688,1
176,10,ARG,1970,1.3534115552902222,1
177,10,ARG,1971,1.270321488380432,1
178,10,ARG,1972,1.2349965572357178,1
179,10,ARG,1973,2.2836952209472656,1
180,10,ARG,1974,4.342878818511963,1
181,10,ARG,1975,5.63436222076416,1
182,10,ARG,1976,5.281071186065674,1
183,10,ARG,1977,4.961500644683838,1
184,10,ARG,1978,7.086462497711182,1
185,10,ARG,1979,8.311460494995117,1
186,10,ARG,1980,10.95965576171875,1
187,10,ARG,1981,11.286154747009276,1
188,10,ARG,1982,12.366887092590332,1
189,10,ARG,1983,13.290648460388184,1
190,10,ARG,1984,14.834033966064451,1
191,10,ARG,1985,16.15656852722168,1
192,10,ARG,1986,15.483119010925291,1
193,10,ARG,1987,15.696935653686523,1
194,10,ARG,1988,11.460010528564451,1
195,10,ARG,1989,10.285797119140623,1
196,10,ARG,1990,14.319891929626465,1
197,10,ARG,1991,13.302986145019531,1
198,10,ARG,1992,13.799196243286133,1
199,10,ARG,1993,16.02237319946289,1
200,10,ARG,1994,17.144929885864258,1
201,10,ARG,1995,15.727041244506836,1
202,10,ARG,1996,13.446004867553713,1
203,10,ARG,1997,15.912371635437012,1
204,10,ARG,1998,14.55415153503418,1
205,10,ARG,1999,12.123930931091309,1
206,10,ARG,2000,14.792287826538086,1
207,10,ARG,2001,18.85335731506348,1
208,10,ARG,2002,18.740678787231445,1
209,10,ARG,2003,17.410114288330078,1
210,10,ARG,2004,15.107033729553224,1
211,10,ARG,2005,15.177221298217772,1
212,10,ARG,2006,15.987685203552246,1
213,10,ARG,2007,12.869945526123049,1
214,10,ARG,2008,12.7078275680542,1
215,10,ARG,2009,14.35273551940918,1
216,10,ARG,2010,13.831493377685549,1
217,10,ARG,2011,12.792537689208984,1
218,10,ARG,2012,11.999014854431152,1
219,10,ARG,2013,12.60171127319336,1
220,10,ARG,2014,12.501885414123535,1
221,10,ARG,2015,12.732717514038086,1
222,10,ARG,2016,12.313151359558104,1
223,10,ARG,2017,12.534226417541504,1
224,10,ARG,2018,13.171616554260254,1
225,10,ARG,2019,14.22115707397461,1
226,10,ARG,2020,15.22998046875,1
227,10,ARG,2021,14.181902885437012,1
228,13,Sin Informacion,1965,7.899460792541504,1
229,13,Sin Informacion,1966,7.619677543640137,1
230,13,Sin Informacion,1967,6.804108619689941,1
231,13,Sin Informacion,1968,7.021827220916748,1
232,13,Sin Informacion,1969,6.440308570861816,1
233,13,Sin Informacion,1970,5.961887359619141,1
234,13,Sin Informacion,1971,6.018142223358154,1
235,13,Sin Informacion,1972,5.893601417541504,1
236,13,Sin Informacion,1973,5.116771697998047,1
237,13,Sin Informacion,1974,5.911405563354492,1
238,13,Sin Informacion,1975,6.248549938201904,1
239,13,Sin Informacion,1976,6.276517391204834,1
240,13,Sin Informacion,1977,5.727554321289063,1
241,13,Sin Informacion,1978,6.282313346862793,1
242,13,Sin Informacion,1979,6.645298957824707,1
243,13,Sin Informacion,1980,7.295660018920898,1
244,13,Sin Informacion,1981,7.713211536407471,1
245,13,Sin Informacion,1982,8.0040283203125,1
246,13,Sin Informacion,1983,8.298871994018555,1
247,13,Sin Informacion,1984,8.214078903198242,1
248,13,Sin Informacion,1985,8.400190353393555,1
249,13,Sin Informacion,1986,8.30180835723877,1
250,13,Sin Informacion,1987,8.566929817199707,1
251,13,Sin Informacion,1988,8.515145301818848,1
252,13,Sin Informacion,1989,8.389825820922852,1
253,13,Sin Informacion,1990,8.502851486206055,1
254,13,Sin Informacion,1991,8.449849128723145,1
255,13,Sin Informacion,1992,8.207863807678223,1
256,13,Sin Informacion,1993,8.72354793548584,1
257,13,Sin Informacion,1994,8.513885498046875,1
258,13,Sin Informacion,1995,8.914823532104492,1
259,13,Sin Informacion,1996,8.706877708435059,1
260,13,Sin Informacion,1997,8.707143783569336,1
261,13,Sin Informacion,1998,9.142277717590332,1
262,13,Sin Informacion,1999,8.829330444335938,1
263,13,Sin Informacion,2000,8.768479347229004,1
264,13,Sin Informacion,2001,8.833219528198242,1
265,13,Sin Informacion,2002,8.625407218933105,1
266,13,Sin Informacion,2003,7.768434524536133,1
267,13,Sin Informacion,2004,8.19771957397461,1
268,13,Sin Informacion,2005,7.919116973876953,1
269,13,Sin Informacion,2006,8.002140998840332,1
270,13,Sin Informacion,2007,7.661543846130371,1
271,13,Sin Informacion,2008,7.992336750030518,1
272,13,Sin Informacion,2009,7.873619556427002,1
273,13,Sin Informacion,2010,8.322809219360352,1
274,13,Sin Informacion,2011,7.722690582275391,1
275,13,Sin Informacion,2012,7.69831371307373,1
276,13,Sin Informacion,2013,8.14519214630127,1
277,13,Sin Informacion,2014,8.740547180175781,1
278,13,Sin Informacion,2015,9.24136734008789,1
