Id_modern-renewable-energy-consumption,Id_Entity,Code,Year,WindGeneration-TWh,SolarGeneration-TWh,GeoBiomassOther-TWh,HydroGeneration-TWh
0,1,Sin Informacion,1965,0.0,0.0,0.0,13.905635833740234
1,1,Sin Informacion,1966,0.0,0.0,0.0,15.510004043579102
2,1,Sin Informacion,1967,0.0,0.0,0.0,16.190637588500977
3,1,Sin Informacion,1968,0.0,0.0,0.0,18.93834114074707
4,1,Sin Informacion,1969,0.0,0.0,0.0,22.10089111328125
5,1,Sin Informacion,1970,0.0,0.0,0.0,27.630430221557617
6,1,Sin Informacion,1971,0.0,0.0,0.164000004529953,26.013391494750977
7,1,Sin Informacion,1972,0.0,0.0,0.1650000065565109,29.633195877075195
8,1,Sin Informacion,1973,0.0,0.0,0.1700000017881393,31.345706939697266
9,1,Sin Informacion,1974,0.0,0.0,0.1749999970197677,35.667076110839844
10,1,Sin Informacion,1975,0.0,0.0,0.1720000058412552,37.71796798706055
11,1,Sin Informacion,1976,0.0,0.0,0.1850000023841858,41.79763412475586
12,1,Sin Informacion,1977,0.0,0.0,0.1889999955892563,45.92876815795898
13,1,Sin Informacion,1978,0.0,0.0,0.1949999928474426,46.30693817138672
14,1,Sin Informacion,1979,0.0,0.0,0.2010000050067901,49.56523132324219
15,1,Sin Informacion,1980,0.0,0.0,0.2070000022649765,48.31178665161133
16,1,Sin Informacion,1981,0.0,0.0,0.2179999947547912,50.19290542602539
17,1,Sin Informacion,1982,0.0,0.0,0.2360000014305114,50.20623779296875
18,1,Sin Informacion,1983,0.0,0.0,0.2300000041723251,45.247161865234375
19,1,Sin Informacion,1984,0.0,0.0,0.2339999973773956,44.48997497558594
20,1,Sin Informacion,1985,0.0,0.0,0.2689999938011169,49.449684143066406
21,1,Sin Informacion,1986,0.0,0.0,0.6589999794960022,51.14537048339844
22,1,Sin Informacion,1987,0.0,0.0,0.6579999923706055,49.05646133422852
23,1,Sin Informacion,1988,0.0,0.0,0.6259999871253967,53.59345626831055
24,1,Sin Informacion,1989,0.0,0.0,0.6169999837875366,56.276214599609375
25,1,Sin Informacion,1990,0.0,0.0,0.7960000038146973,57.254661560058594
26,1,Sin Informacion,1991,0.0,0.0,0.8119999766349792,60.6514892578125
27,1,Sin Informacion,1992,0.0,0.0,0.8422499895095825,57.86029052734375
28,1,Sin Informacion,1993,0.0020000000949949,0.0,0.9376999735832214,56.6825065612793
29,1,Sin Informacion,1994,0.0054000001400709,0.0,0.8349999785423279,57.59604644775391
30,1,Sin Informacion,1995,0.0063000000081956,0.0,1.0187000036239624,59.76887893676758
31,1,Sin Informacion,1996,0.0071000000461936,0.0,1.258092999458313,62.31645965576172
32,1,Sin Informacion,1997,0.0071999998763203,0.0,1.3866404294967651,63.85249710083008
33,1,Sin Informacion,1998,0.0076000001281499,0.0,1.7125492095947266,66.6548843383789
34,1,Sin Informacion,1999,0.0197999998927116,0.0,1.696124792098999,70.68426513671875
35,1,Sin Informacion,2000,0.1755000054836273,0.0119409998878836,2.269063234329224,75.25581359863281
36,1,Sin Informacion,2001,0.415580004453659,0.0149600002914667,2.335352659225464,80.8691177368164
37,1,Sin Informacion,2002,0.4435840249061584,0.0167997144162654,2.286400079727173,85.0264663696289
38,1,Sin Informacion,2003,0.5355989933013916,0.0200592949986457,2.622400045394897,82.57460021972656
39,1,Sin Informacion,2004,0.7682805061340332,0.0245668794959783,2.9788496494293213,87.21947479248047
40,1,Sin Informacion,2005,0.7803820967674255,0.0293834637850523,3.009669303894043,88.83773803710938
41,1,Sin Informacion,2006,0.852565586566925,0.0379120483994483,3.770404815673828,92.04934692382812
42,1,Sin Informacion,2007,1.0162233114242554,0.0504793636500835,3.1420483589172363,95.19856262207033
43,1,Sin Informacion,2008,1.31177818775177,0.0726538896560669,3.2673957347869877,96.96720886230467
44,1,Sin Informacion,2009,1.5892308950424194,0.0958215519785881,3.5627222061157227,99.56114196777344
45,1,Sin Informacion,2010,2.2845823764801025,0.2160517424345016,3.76455307006836,107.69847869873048
46,1,Sin Informacion,2011,2.386503934860229,0.6020892858505249,3.8587684631347656,110.7505111694336
47,1,Sin Informacion,2012,2.51563024520874,0.9926591515541076,4.042406558990479,111.2269287109375
48,1,Sin Informacion,2013,3.593447208404541,0.787520170211792,4.433248996734619,117.65245056152344
49,1,Sin Informacion,2014,5.060072898864746,1.904150128364563,5.462047100067139,124.08204650878906
50,1,Sin Informacion,2015,8.910686492919922,3.258606433868408,7.169681549072266,120.41480255126952
51,1,Sin Informacion,2016,11.17637062072754,5.384091377258301,7.231852054595947,117.42635345458984
52,1,Sin Informacion,2017,12.457453727722168,7.773414611816406,7.626035690307617,126.34168243408205
53,1,Sin Informacion,2018,14.769322395324709,10.053543090820312,8.172670364379883,134.60006713867188
54,1,Sin Informacion,2019,19.331632614135746,12.894289016723633,8.26296615600586,139.41761779785156
55,1,Sin Informacion,2020,21.30289649963379,16.058805465698242,8.066415786743164,146.37307739257812
56,1,Sin Informacion,2021,24.41596984863281,16.515235900878906,8.02631664276123,153.418701171875
57,2,Sin Informacion,1965,0.0,0.0,0.0,13.905634880065918
58,2,Sin Informacion,1966,0.0,0.0,0.0,15.510004043579102
59,2,Sin Informacion,1967,0.0,0.0,0.0,16.190635681152344
60,2,Sin Informacion,1968,0.0,0.0,0.0,18.93834114074707
61,2,Sin Informacion,1969,0.0,0.0,0.0,22.100889205932617
62,2,Sin Informacion,1970,0.0,0.0,0.0,27.630430221557617
63,2,Sin Informacion,1971,0.0,0.0,0.164000004529953,26.013391494750977
64,2,Sin Informacion,1972,0.0,0.0,0.1650000065565109,29.633195877075195
65,2,Sin Informacion,1973,0.0,0.0,0.1700000017881393,31.345706939697266
66,2,Sin Informacion,1974,0.0,0.0,0.1749999970197677,35.667076110839844
67,2,Sin Informacion,1975,0.0,0.0,0.1720000058412552,37.71797180175781
68,2,Sin Informacion,1976,0.0,0.0,0.1850000023841858,41.79763412475586
69,2,Sin Informacion,1977,0.0,0.0,0.1889999955892563,45.92876815795898
70,2,Sin Informacion,1978,0.0,0.0,0.1949999928474426,46.30693817138672
71,2,Sin Informacion,1979,0.0,0.0,0.2010000050067901,49.56523132324219
72,2,Sin Informacion,1980,0.0,0.0,0.2070000022649765,48.31178283691406
73,2,Sin Informacion,1981,0.0,0.0,0.2179999947547912,50.19290542602539
74,2,Sin Informacion,1982,0.0,0.0,0.2360000014305114,50.20623779296875
75,2,Sin Informacion,1983,0.0,0.0,0.2300000041723251,45.247161865234375
76,2,Sin Informacion,1984,0.0,0.0,0.2339999973773956,44.48997497558594
77,2,Sin Informacion,1985,0.0,0.0,0.2689999938011169,49.449684143066406
78,2,Sin Informacion,1986,0.0,0.0,0.6589999794960022,51.1453742980957
79,2,Sin Informacion,1987,0.0,0.0,0.6579999923706055,49.05646133422852
80,2,Sin Informacion,1988,0.0,0.0,0.6259999871253967,53.59345626831055
81,2,Sin Informacion,1989,0.0,0.0,0.6169999837875366,56.276214599609375
82,2,Sin Informacion,1990,0.0,0.0,0.7960000038146973,57.25465774536133
83,2,Sin Informacion,1991,0.0,0.0,0.8119999766349792,60.6514892578125
84,2,Sin Informacion,1992,0.0,0.0,0.8422499895095825,57.86029052734375
85,2,Sin Informacion,1993,0.0020000000949949,0.0,0.9376999735832214,56.6825065612793
86,2,Sin Informacion,1994,0.0054000001400709,0.0,0.8349999785423279,57.59605026245117
87,2,Sin Informacion,1995,0.0063000000081956,0.0,1.0187000036239624,59.76887512207031
88,2,Sin Informacion,1996,0.0071000000461936,0.0,1.2580931186676023,62.31645965576172
89,2,Sin Informacion,1997,0.0071999998763203,0.0,1.3866404294967651,63.85249710083008
90,2,Sin Informacion,1998,0.0076000001281499,0.0,1.712549328804016,66.6548843383789
91,2,Sin Informacion,1999,0.0197999998927116,0.0,1.696124792098999,70.68425750732422
92,2,Sin Informacion,2000,0.1755000054836273,0.0119409998878836,2.269063234329224,75.25581359863281
93,2,Sin Informacion,2001,0.415580004453659,0.0149600002914667,2.335352659225464,80.8691177368164
94,2,Sin Informacion,2002,0.443583995103836,0.0167997125536203,2.286400079727173,85.0264663696289
95,2,Sin Informacion,2003,0.5355989933013916,0.0200592968612909,2.622400045394897,82.57460021972656
96,2,Sin Informacion,2004,0.7682805061340332,0.0245668794959783,2.9788496494293213,87.21946716308594
97,2,Sin Informacion,2005,0.7803820967674255,0.0293834637850523,3.009669303894043,88.83773040771484
98,2,Sin Informacion,2006,0.852565586566925,0.0379120483994483,3.770404815673828,92.04935455322266
99,2,Sin Informacion,2007,1.0162233114242554,0.0504793636500835,3.1420483589172363,95.19856262207033
100,2,Sin Informacion,2008,1.31177818775177,0.0726538896560669,3.2673957347869877,96.96720886230467
101,2,Sin Informacion,2009,1.5892308950424194,0.0958215594291687,3.5627222061157227,99.5611343383789
102,2,Sin Informacion,2010,2.2845823764801025,0.2160517573356628,3.76455307006836,107.698486328125
103,2,Sin Informacion,2011,2.386503934860229,0.6020892858505249,3.8587687015533447,110.7505111694336
104,2,Sin Informacion,2012,2.51563024520874,0.9926591515541076,4.042407035827637,111.2269287109375
105,2,Sin Informacion,2013,3.593447208404541,0.787520170211792,4.433248996734619,117.65245056152344
106,2,Sin Informacion,2014,5.060072898864746,1.904150128364563,5.462047100067139,124.08204650878906
107,2,Sin Informacion,2015,8.910686492919922,3.258606433868408,7.169681549072266,120.41480255126952
108,2,Sin Informacion,2016,11.17637062072754,5.384091377258301,7.231852054595947,117.42635345458984
109,2,Sin Informacion,2017,12.457453727722168,7.773414611816406,7.626035690307617,126.34168243408205
110,2,Sin Informacion,2018,14.769322395324709,10.053543090820312,8.172670364379883,134.60008239746094
111,2,Sin Informacion,2019,19.331632614135746,12.894289016723633,8.26296615600586,139.4176025390625
112,2,Sin Informacion,2020,21.302898406982425,16.058805465698242,8.066415786743164,146.37307739257812
113,2,Sin Informacion,2021,24.41596984863281,16.515235900878906,8.026317596435547,153.41868591308594
114,5,DZA,1965,0.0,0.0,0.0,0.4000000059604645
115,5,DZA,1966,0.0,0.0,0.0,0.3549999892711639
116,5,DZA,1967,0.0,0.0,0.0,0.4099999964237213
117,5,DZA,1968,0.0,0.0,0.0,0.5630000233650208
118,5,DZA,1969,0.0,0.0,0.0,0.3610000014305115
119,5,DZA,1970,0.0,0.0,0.0,0.5799999833106995
120,5,DZA,1971,0.0,0.0,0.0,0.3300000131130218
121,5,DZA,1972,0.0,0.0,0.0,0.4950000047683716
122,5,DZA,1973,0.0,0.0,0.0,0.7519999742507935
123,5,DZA,1974,0.0,0.0,0.0,0.4970000088214874
124,5,DZA,1975,0.0,0.0,0.0,0.328000009059906
125,5,DZA,1976,0.0,0.0,0.0,0.3889999985694885
126,5,DZA,1977,0.0,0.0,0.0,0.2689999938011169
127,5,DZA,1978,0.0,0.0,0.0,0.25
128,5,DZA,1979,0.0,0.0,0.0,0.2910000085830688
