Id_per-capita-energy-use,Id_Entity,Code,Year,PrimaryEnergyConsumptionPerCapita(kWh/Person),Outlier_PrimaryEnergyConsumptionPerCapita(kWh/Person)
0,0,AFG,1980,583.29443359375,1
1,0,AFG,1981,666.3782348632812,1
2,0,AFG,1982,725.659912109375,1
3,0,AFG,1983,912.1395874023438,1
4,0,AFG,1984,941.392578125,1
5,0,AFG,1985,939.6123657226562,1
6,0,AFG,1986,976.6690673828124,1
7,0,AFG,1987,1592.7022705078125,1
8,0,AFG,1988,2805.609619140625,1
9,0,AFG,1989,2700.473876953125,1
10,0,AFG,1990,2557.58642578125,1
11,0,AFG,1991,1045.39794921875,1
12,0,AFG,1992,632.8917846679688,1
13,0,AFG,1993,575.6829833984375,1
14,0,AFG,1994,516.28271484375,1
15,0,AFG,1995,410.195068359375,1
16,0,AFG,1996,386.444580078125,1
17,0,AFG,1997,358.42022705078125,1
18,0,AFG,1998,342.0967712402344,1
19,0,AFG,1999,334.5757141113281,1
20,0,AFG,2000,284.58221435546875,1
21,0,AFG,2001,215.85960388183597,1
22,0,AFG,2002,195.9295654296875,1
23,0,AFG,2003,219.91004943847656,1
24,0,AFG,2004,194.54168701171875,1
25,0,AFG,2005,239.8551177978516,1
26,0,AFG,2006,293.0180969238281,1
27,0,AFG,2007,370.4378051757813,1
28,0,AFG,2008,618.72314453125,1
29,0,AFG,2009,984.1227416992188,1
30,0,AFG,2010,1190.323974609375,1
31,0,AFG,2011,1567.177734375,1
32,0,AFG,2012,1388.241943359375,1
33,0,AFG,2013,1130.7425537109375,1
34,0,AFG,2014,1003.9330444335938,1
35,0,AFG,2015,1075.504638671875,1
36,0,AFG,2016,973.8573608398438,1
37,0,AFG,2017,1008.8318481445312,1
38,0,AFG,2018,1129.5948486328125,1
39,0,AFG,2019,945.6453857421876,1
40,1,Sin Informacion,1965,2234.663330078125,1
41,1,Sin Informacion,1966,2282.182861328125,1
42,1,Sin Informacion,1967,2248.270751953125,1
43,1,Sin Informacion,1968,2315.2265625,1
44,1,Sin Informacion,1969,2318.95947265625,1
45,1,Sin Informacion,1970,2453.593017578125,1
46,1,Sin Informacion,1971,2553.538818359375,1
47,1,Sin Informacion,1972,2632.20068359375,1
48,1,Sin Informacion,1973,2776.81982421875,1
49,1,Sin Informacion,1974,2834.142822265625,1
50,1,Sin Informacion,1975,2925.67724609375,1
51,1,Sin Informacion,1976,3094.7763671875,1
52,1,Sin Informacion,1977,3176.5732421875,1
53,1,Sin Informacion,1978,3208.0498046875,1
54,1,Sin Informacion,1979,3398.725830078125,1
55,1,Sin Informacion,1980,3550.119384765625,1
56,1,Sin Informacion,1981,3871.94384765625,1
57,1,Sin Informacion,1982,4012.325927734375,1
58,1,Sin Informacion,1983,4018.677734375,1
59,1,Sin Informacion,1984,4027.39794921875,1
60,1,Sin Informacion,1985,4074.291259765625,1
61,1,Sin Informacion,1986,4049.79248046875,1
62,1,Sin Informacion,1987,4063.0693359375,1
63,1,Sin Informacion,1988,4230.5615234375,1
64,1,Sin Informacion,1989,4125.0615234375,1
65,1,Sin Informacion,1990,4147.5830078125,1
66,1,Sin Informacion,1991,4034.76611328125,1
67,1,Sin Informacion,1992,3988.889892578125,1
68,1,Sin Informacion,1993,3894.48974609375,1
69,1,Sin Informacion,1994,3929.64990234375,1
70,1,Sin Informacion,1995,3990.72998046875,1
71,1,Sin Informacion,1996,3991.1953125,1
72,1,Sin Informacion,1997,3973.2431640625,1
73,1,Sin Informacion,1998,3936.782470703125,1
74,1,Sin Informacion,1999,3961.265869140625,1
75,1,Sin Informacion,2000,3955.7236328125,1
76,1,Sin Informacion,2001,3995.127197265625,1
77,1,Sin Informacion,2002,3964.461181640625,1
78,1,Sin Informacion,2003,4056.515869140625,1
79,1,Sin Informacion,2004,4239.04931640625,1
80,1,Sin Informacion,2005,4146.578125,1
81,1,Sin Informacion,2006,4125.49658203125,1
82,1,Sin Informacion,2007,4174.0478515625,1
83,1,Sin Informacion,2008,4316.12109375,1
84,1,Sin Informacion,2009,4275.177734375,1
85,1,Sin Informacion,2010,4296.27392578125,1
