Id_primary-energy-source-bar,Id_Entity,Code,Year,CoalConsumption-TWh,OilConsumption-TWh,GasConsumption-TWh,NuclearConsumption-TWh,HydroConsumption-TWh,WindConsumption-TWh,SolarConsumption-TWh,GeoBiomassOther-TWh,Outlier_CoalConsumption-TWh,Outlier_OilConsumption-TWh,Outlier_GasConsumption-TWh,Outlier_NuclearConsumption-TWh,Outlier_HydroConsumption-TWh,Outlier_WindConsumption-TWh,Outlier_SolarConsumption-TWh,Outlier_GeoBiomassOther-TWh
0,1,Sin Informacion,1965,323.4961242675781,341.26275634765625,9.54375457763672,0.0,41.11881256103516,0.0,0.0,0.0,1,1,1,1,1,1,1,1
1,1,Sin Informacion,1966,323.1221923828125,369.486572265625,10.669916152954102,0.0,45.8629150390625,0.0,0.0,0.0,1,1,1,1,1,1,1,1
2,1,Sin Informacion,1967,330.29156494140625,368.125244140625,10.545669555664062,0.0,47.87553787231445,0.0,0.0,0.0,1,1,1,1,1,1,1,1
3,1,Sin Informacion,1968,343.5129089355469,389.1998596191406,10.688969612121582,0.0,56.00046920776367,0.0,0.0,0.0,1,1,1,1,1,1,1,1
4,1,Sin Informacion,1969,346.6429443359375,396.9228515625,12.491999626159668,0.0,65.35208892822266,0.0,0.0,0.0,1,1,1,1,1,1,1,1
5,1,Sin Informacion,1970,360.75689697265625,433.7723083496094,15.52032470703125,0.0,81.702880859375,0.0,0.0,0.0,1,1,1,1,1,1,1,1
6,1,Sin Informacion,1971,383.0123291015625,473.5654296875,18.40526390075684,0.0,76.92131805419922,0.0,0.0,0.164000004529953,1,1,1,1,1,1,1,1
7,1,Sin Informacion,1972,384.2108154296875,510.6726379394531,24.670656204223636,0.0,87.62504577636719,0.0,0.0,0.1650000065565109,1,1,1,1,1,1,1,1
8,1,Sin Informacion,1973,408.9103393554688,549.7197875976562,39.55179214477539,0.0,92.6889190673828,0.0,0.0,0.1700000017881393,1,1,1,1,1,1,1,1
9,1,Sin Informacion,1974,425.6462097167969,567.7996826171875,44.51848602294922,0.0,105.46715545654295,0.0,0.0,0.1749999970197677,1,1,1,1,1,1,1,1
